mentee_id,priority_skills,priority_domain,priority_exp,priority_rating,w_skills,w_domain,w_exp,w_rating
mentee_563d4be9,2,4,5,5,0.175,0.25,0.2875,0.2875
mentee_d9baaef3,3,4,4,4,0.22,0.26,0.26,0.26
mentee_e9f9925b,2,5,4,2,0.1923,0.3308,0.2846,0.1923
mentee_53d9c9dc,1,3,5,5,0.1429,0.2286,0.3143,0.3143
mentee_ae2955fa,3,1,2,3,0.3,0.1667,0.2333,0.3
mentee_18838b3b,2,2,2,1,0.2714,0.2714,0.2714,0.1857
mentee_f969e63d,1,2,4,5,0.15,0.2,0.3,0.35
mentee_5dc89f7d,1,4,4,5,0.1429,0.2714,0.2714,0.3143
mentee_fb54af75,2,4,4,4,0.1857,0.2714,0.2714,0.2714
mentee_d5544a0f,2,2,1,1,0.3,0.3,0.2,0.2
mentee_40af99f1,4,2,2,5,0.2846,0.1923,0.1923,0.3308
mentee_ab48fdfb,4,1,5,2,0.3,0.15,0.35,0.2
mentee_e86bed2c,1,4,2,4,0.1545,0.3182,0.2091,0.3182
mentee_dc8a0ebd,5,5,5,3,0.2667,0.2667,0.2667,0.2
mentee_be51c05e,4,5,5,4,0.2333,0.2667,0.2667,0.2333
mentee_d5ba3ae7,5,4,2,4,0.3,0.26,0.18,0.26
mentee_210735eb,4,3,2,3,0.3,0.25,0.2,0.25
mentee_4b23fcf9,5,4,2,3,0.3143,0.2714,0.1857,0.2286
mentee_7fd2511f,4,1,3,2,0.34,0.16,0.28,0.22
mentee_fa4983f2,3,3,3,5,0.2286,0.2286,0.2286,0.3143
mentee_fb40a52e,1,2,2,2,0.1857,0.2714,0.2714,0.2714
mentee_e8aeb3f1,4,2,2,1,0.3667,0.2333,0.2333,0.1667
mentee_10ff9150,4,4,3,5,0.25,0.25,0.2125,0.2875
mentee_22080b8b,4,4,1,2,0.3182,0.3182,0.1545,0.2091
mentee_aade1317,4,4,5,1,0.2714,0.2714,0.3143,0.1429
mentee_c3f87132,5,4,4,1,0.3143,0.2714,0.2714,0.1429
mentee_e96a614e,3,3,4,4,0.2286,0.2286,0.2714,0.2714
mentee_e34823ef,5,5,5,2,0.2765,0.2765,0.2765,0.1706
mentee_98906821,4,2,3,4,0.2846,0.1923,0.2385,0.2846
mentee_5f348d2d,4,1,4,3,0.3,0.15,0.3,0.25
mentee_52b2e469,4,2,4,2,0.3,0.2,0.3,0.2
mentee_34faa17c,5,5,1,4,0.3,0.3,0.14,0.26
mentee_73b872cd,5,5,1,1,0.35,0.35,0.15,0.15
mentee_97d19851,4,2,4,2,0.3,0.2,0.3,0.2
mentee_1eb5bf54,1,3,4,3,0.1545,0.2636,0.3182,0.2636
mentee_7e1c3b43,2,4,3,3,0.2,0.3,0.25,0.25
mentee_5775225d,4,3,4,3,0.2714,0.2286,0.2714,0.2286
mentee_4f2940ad,1,4,1,5,0.1545,0.3182,0.1545,0.3727
mentee_431c24f3,1,3,2,1,0.1857,0.3571,0.2714,0.1857
mentee_4d563c19,1,1,2,2,0.2,0.2,0.3,0.3
mentee_72b8eb9e,1,5,2,2,0.16,0.4,0.22,0.22
mentee_a7edcf2e,2,4,1,5,0.2,0.3,0.15,0.35
mentee_3e9da764,2,4,3,3,0.2,0.3,0.25,0.25
mentee_e2650cc4,2,5,5,1,0.1923,0.3308,0.3308,0.1462
mentee_d4d7565a,2,3,1,5,0.2091,0.2636,0.1545,0.3727
mentee_5267f8a9,1,3,5,4,0.1462,0.2385,0.3308,0.2846
mentee_9a593eaa,4,2,1,5,0.3,0.2,0.15,0.35
mentee_295a12ec,2,1,3,5,0.2091,0.1545,0.2636,0.3727
mentee_146e6ff8,1,5,1,3,0.16,0.4,0.16,0.28
mentee_3cb6f624,5,4,3,1,0.3308,0.2846,0.2385,0.1462
mentee_c38ece95,5,3,1,4,0.3308,0.2385,0.1462,0.2846
mentee_8c7a2a41,4,1,4,3,0.3,0.15,0.3,0.25
mentee_1973647a,4,2,4,2,0.3,0.2,0.3,0.2
mentee_9a32941d,5,3,5,5,0.2667,0.2,0.2667,0.2667
mentee_af14f89a,4,4,4,5,0.2412,0.2412,0.2412,0.2765
mentee_ec308a46,3,3,2,1,0.3,0.3,0.2333,0.1667
mentee_3762dccf,3,4,2,4,0.2385,0.2846,0.1923,0.2846
mentee_39ac9df3,5,5,4,3,0.2765,0.2765,0.2412,0.2059
mentee_1d7b2cc1,1,4,3,2,0.16,0.34,0.28,0.22
mentee_a3c4f653,4,2,3,3,0.3,0.2,0.25,0.25
mentee_e259dda7,3,3,5,3,0.2286,0.2286,0.3143,0.2286
mentee_3410883e,5,1,5,2,0.3308,0.1462,0.3308,0.1923
mentee_1c80c96a,1,2,4,4,0.1545,0.2091,0.3182,0.3182
mentee_ffdaf56a,5,2,4,4,0.3,0.18,0.26,0.26
mentee_44f31e4c,4,1,1,3,0.3667,0.1667,0.1667,0.3
mentee_da284102,2,4,2,3,0.2091,0.3182,0.2091,0.2636
mentee_b748eab9,5,3,4,5,0.2765,0.2059,0.2412,0.2765
mentee_8917038f,5,3,4,5,0.2765,0.2059,0.2412,0.2765
mentee_2656b426,3,3,4,3,0.2385,0.2385,0.2846,0.2385
mentee_ff0234b4,3,3,2,1,0.3,0.3,0.2333,0.1667
mentee_d8a2d9cb,2,3,1,5,0.2091,0.2636,0.1545,0.3727
mentee_621ed6f0,2,2,2,4,0.22,0.22,0.22,0.34
mentee_0ea62903,3,5,5,5,0.2,0.2667,0.2667,0.2667
mentee_09b40911,3,1,2,3,0.3,0.1667,0.2333,0.3
mentee_bbe16923,2,3,2,3,0.22,0.28,0.22,0.28
mentee_1b5ebcc9,1,5,2,3,0.1545,0.3727,0.2091,0.2636
mentee_1f6d45b9,1,1,5,3,0.16,0.16,0.4,0.28
mentee_74cb5fde,2,4,1,1,0.25,0.4,0.175,0.175
mentee_ba2bfb6e,5,3,4,4,0.2875,0.2125,0.25,0.25
mentee_3d5168f9,4,3,2,1,0.34,0.28,0.22,0.16
mentee_495fb43e,3,4,1,1,0.3,0.3667,0.1667,0.1667
mentee_f6c76fbd,4,4,1,5,0.2714,0.2714,0.1429,0.3143
mentee_ce77853e,1,2,2,5,0.16,0.22,0.22,0.4
mentee_6d6036ca,3,1,2,1,0.3571,0.1857,0.2714,0.1857
mentee_a77f76a9,5,4,5,5,0.2579,0.2263,0.2579,0.2579
mentee_bd599916,5,2,5,4,0.2875,0.175,0.2875,0.25
mentee_0a2af0fd,4,4,3,5,0.25,0.25,0.2125,0.2875
mentee_560fa709,4,3,5,5,0.2412,0.2059,0.2765,0.2765
mentee_bbe5e5cd,1,5,1,2,0.1667,0.4333,0.1667,0.2333
mentee_4f365949,2,3,1,2,0.25,0.325,0.175,0.25
mentee_d2c128da,2,2,5,1,0.22,0.22,0.4,0.16
mentee_27d75853,2,1,4,4,0.2091,0.1545,0.3182,0.3182
mentee_e8b63612,5,4,3,1,0.3308,0.2846,0.2385,0.1462
mentee_bce2b593,2,3,3,4,0.2,0.25,0.25,0.3
mentee_f1b1078b,1,2,3,5,0.1545,0.2091,0.2636,0.3727
mentee_778043c8,2,4,1,5,0.2,0.3,0.15,0.35
mentee_5bde6cac,2,2,3,2,0.2333,0.2333,0.3,0.2333
mentee_07fafff9,1,1,2,3,0.1857,0.1857,0.2714,0.3571
mentee_e5fd8a60,5,5,3,4,0.2765,0.2765,0.2059,0.2412
mentee_9803dd27,1,4,3,4,0.15,0.3,0.25,0.3
mentee_0751e4cb,3,5,5,4,0.2059,0.2765,0.2765,0.2412
mentee_09fffdb0,4,1,5,1,0.3182,0.1545,0.3727,0.1545
mentee_0627a5ef,4,3,5,3,0.26,0.22,0.3,0.22
mentee_a8651c29,1,1,2,5,0.1667,0.1667,0.2333,0.4333
mentee_a4cde4f2,5,1,3,5,0.3143,0.1429,0.2286,0.3143
mentee_f4dab640,1,2,4,5,0.15,0.2,0.3,0.35
mentee_22eed886,4,3,2,5,0.2714,0.2286,0.1857,0.3143
mentee_e4c37226,4,4,1,4,0.2846,0.2846,0.1462,0.2846
mentee_2fd8af02,3,4,3,3,0.2385,0.2846,0.2385,0.2385
mentee_1f0f2600,1,2,3,4,0.16,0.22,0.28,0.34
mentee_2aabc150,4,3,4,5,0.25,0.2125,0.25,0.2875
mentee_7aa548f7,1,4,1,3,0.1667,0.3667,0.1667,0.3
mentee_33576570,3,3,1,4,0.2636,0.2636,0.1545,0.3182
mentee_3321d99d,5,1,5,4,0.3,0.14,0.3,0.26
mentee_ff62def6,4,1,2,5,0.3,0.15,0.2,0.35
mentee_919c2c79,3,5,4,4,0.2125,0.2875,0.25,0.25
mentee_c7606828,1,2,3,5,0.1545,0.2091,0.2636,0.3727
mentee_bab06230,2,3,4,4,0.1923,0.2385,0.2846,0.2846
mentee_56faf112,1,1,5,2,0.1667,0.1667,0.4333,0.2333
mentee_32c270c8,2,3,5,1,0.2091,0.2636,0.3727,0.1545
mentee_1ea4e9e4,5,4,1,2,0.35,0.3,0.15,0.2
mentee_42b130c4,1,4,1,2,0.175,0.4,0.175,0.25
mentee_c914f309,4,3,5,3,0.26,0.22,0.3,0.22
mentee_6203f22c,4,4,4,2,0.2714,0.2714,0.2714,0.1857
mentee_35c26fd3,4,5,2,4,0.26,0.3,0.18,0.26
mentee_3abc026b,2,5,5,2,0.1857,0.3143,0.3143,0.1857
mentee_e86dae75,1,3,4,3,0.1545,0.2636,0.3182,0.2636
mentee_0e3640f1,5,3,1,3,0.35,0.25,0.15,0.25
mentee_483091b8,3,5,5,4,0.2059,0.2765,0.2765,0.2412
mentee_5515fbb3,2,4,5,4,0.18,0.26,0.3,0.26
mentee_00f13d54,3,3,5,5,0.2125,0.2125,0.2875,0.2875
mentee_98bfdff0,4,4,3,2,0.2846,0.2846,0.2385,0.1923
mentee_77545e3a,2,5,4,2,0.1923,0.3308,0.2846,0.1923
mentee_3a356d8d,4,1,3,4,0.3,0.15,0.25,0.3
mentee_119cecbe,4,4,2,4,0.2714,0.2714,0.1857,0.2714
mentee_c8440c83,1,2,5,5,0.1462,0.1923,0.3308,0.3308
mentee_1562e414,3,1,4,1,0.3,0.1667,0.3667,0.1667
mentee_50fe4960,5,4,1,2,0.35,0.3,0.15,0.2
mentee_f371f658,4,2,1,4,0.3182,0.2091,0.1545,0.3182
mentee_54538972,3,3,5,4,0.22,0.22,0.3,0.26
mentee_f8253e5d,1,3,5,4,0.1462,0.2385,0.3308,0.2846
mentee_0c65328f,3,4,5,1,0.2385,0.2846,0.3308,0.1462
mentee_a9652519,5,1,2,3,0.3727,0.1545,0.2091,0.2636
mentee_13f50965,2,1,4,1,0.25,0.175,0.4,0.175
mentee_98a38d5e,1,4,2,3,0.16,0.34,0.22,0.28
mentee_1d3ca514,1,1,3,1,0.2,0.2,0.4,0.2
mentee_5e980320,3,3,3,4,0.2385,0.2385,0.2385,0.2846
mentee_588ddec4,2,2,5,4,0.1923,0.1923,0.3308,0.2846
mentee_74bd9f7f,5,2,2,2,0.3727,0.2091,0.2091,0.2091
mentee_e9722636,1,5,4,5,0.14,0.3,0.26,0.3
mentee_87aaca4d,2,4,5,2,0.1923,0.2846,0.3308,0.1923
mentee_b1665710,2,4,3,4,0.1923,0.2846,0.2385,0.2846
mentee_e5a29f15,3,1,4,3,0.2636,0.1545,0.3182,0.2636
mentee_4b2d3199,5,2,1,4,0.35,0.2,0.15,0.3
mentee_98d9f6f6,3,5,3,4,0.22,0.3,0.22,0.26
mentee_ab387994,3,4,3,2,0.25,0.3,0.25,0.2
mentee_1989bfbe,4,4,1,2,0.3182,0.3182,0.1545,0.2091
mentee_04c4dcb8,4,5,3,5,0.2412,0.2765,0.2059,0.2765
mentee_d04c81b4,3,3,1,4,0.2636,0.2636,0.1545,0.3182
mentee_e472ecfc,3,1,5,1,0.28,0.16,0.4,0.16
mentee_860dd827,5,4,3,2,0.3143,0.2714,0.2286,0.1857
mentee_5b475715,5,3,2,2,0.35,0.25,0.2,0.2
mentee_b173d7ae,5,3,2,1,0.3727,0.2636,0.2091,0.1545
mentee_aeb8ee06,1,3,4,1,0.1667,0.3,0.3667,0.1667
mentee_1713c0ae,5,3,2,1,0.3727,0.2636,0.2091,0.1545
mentee_6d94112e,3,3,4,2,0.25,0.25,0.3,0.2
mentee_f3113ae1,2,2,5,3,0.2,0.2,0.35,0.25
mentee_71999c63,5,5,3,2,0.3,0.3,0.22,0.18
mentee_92bd67a2,3,4,3,3,0.2385,0.2846,0.2385,0.2385
mentee_f4d59e40,1,4,1,2,0.175,0.4,0.175,0.25
mentee_effcc5cb,2,4,5,3,0.1857,0.2714,0.3143,0.2286
mentee_8c1d19d7,1,4,1,3,0.1667,0.3667,0.1667,0.3
mentee_3ae32777,5,1,4,3,0.3308,0.1462,0.2846,0.2385
mentee_ea2c4e5e,3,5,4,3,0.22,0.3,0.26,0.22
mentee_435521a4,1,2,4,1,0.175,0.25,0.4,0.175
mentee_7f202668,5,5,3,5,0.2667,0.2667,0.2,0.2667
mentee_05923e41,2,1,4,3,0.22,0.16,0.34,0.28
mentee_22aadedc,4,1,2,1,0.4,0.175,0.25,0.175
mentee_3e8c4137,1,3,4,1,0.1667,0.3,0.3667,0.1667
mentee_4b91a49a,1,2,5,2,0.16,0.22,0.4,0.22
mentee_8570c1d9,4,4,3,5,0.25,0.25,0.2125,0.2875
mentee_cf609a46,4,5,2,4,0.26,0.3,0.18,0.26
mentee_1c6b4399,1,4,5,4,0.1429,0.2714,0.3143,0.2714
mentee_7851d27a,3,1,3,2,0.3,0.1667,0.3,0.2333
mentee_ab2daffd,4,4,2,3,0.2846,0.2846,0.1923,0.2385
mentee_bf7b48e9,1,3,5,3,0.15,0.25,0.35,0.25
mentee_9956c02b,1,4,3,2,0.16,0.34,0.28,0.22
mentee_82f44609,1,4,1,2,0.175,0.4,0.175,0.25
mentee_dd31a9a3,5,1,1,3,0.4,0.16,0.16,0.28
mentee_00f7b5c3,2,2,5,2,0.2091,0.2091,0.3727,0.2091
mentee_4f97ac7f,1,5,2,5,0.1462,0.3308,0.1923,0.3308
mentee_5c3d7f2d,2,2,3,2,0.2333,0.2333,0.3,0.2333
mentee_de86e9cb,5,1,3,2,0.3727,0.1545,0.2636,0.2091
mentee_29766ccc,2,5,3,2,0.2,0.35,0.25,0.2
mentee_9238f052,1,1,2,1,0.22,0.22,0.34,0.22
mentee_39c7aac8,3,2,5,3,0.2385,0.1923,0.3308,0.2385
mentee_42c61837,1,2,3,1,0.1857,0.2714,0.3571,0.1857
mentee_200b78fc,2,4,5,1,0.2,0.3,0.35,0.15
mentee_c1c149f5,1,4,4,3,0.15,0.3,0.3,0.25
mentee_c997421a,5,5,1,4,0.3,0.3,0.14,0.26
mentee_b27576a9,5,2,5,1,0.3308,0.1923,0.3308,0.1462
mentee_5e22af7e,5,3,4,1,0.3308,0.2385,0.2846,0.1462
mentee_0e8886b6,1,4,4,4,0.1462,0.2846,0.2846,0.2846
mentee_f33a456c,1,4,4,1,0.16,0.34,0.34,0.16
mentee_ad77d100,1,3,5,2,0.1545,0.2636,0.3727,0.2091
mentee_5c488fdd,1,2,3,5,0.1545,0.2091,0.2636,0.3727
mentee_93cac6ac,5,5,3,4,0.2765,0.2765,0.2059,0.2412
mentee_32289c4d,5,5,3,4,0.2765,0.2765,0.2059,0.2412
mentee_1af02caa,5,5,4,1,0.3,0.3,0.26,0.14
mentee_41e5f28c,1,5,2,4,0.15,0.35,0.2,0.3
mentee_54d4a916,4,2,4,3,0.2846,0.1923,0.2846,0.2385
mentee_51797723,4,4,4,1,0.2846,0.2846,0.2846,0.1462
mentee_0fa52a46,3,4,3,3,0.2385,0.2846,0.2385,0.2385
mentee_f5720921,3,2,4,1,0.28,0.22,0.34,0.16
mentee_01768252,1,1,1,4,0.1857,0.1857,0.1857,0.4429
mentee_962da20e,1,3,2,5,0.1545,0.2636,0.2091,0.3727
mentee_dc07ff90,1,5,5,5,0.1375,0.2875,0.2875,0.2875
mentee_fcddce5a,3,1,4,3,0.2636,0.1545,0.3182,0.2636
mentee_23b6f101,4,1,3,5,0.2846,0.1462,0.2385,0.3308
mentee_8e724a4d,3,3,1,5,0.25,0.25,0.15,0.35
mentee_693d74b5,5,2,2,4,0.3308,0.1923,0.1923,0.2846
mentee_d6387b0d,2,1,3,5,0.2091,0.1545,0.2636,0.3727
mentee_ef1a6a15,3,1,3,5,0.25,0.15,0.25,0.35
mentee_3d7253f9,2,4,5,5,0.175,0.25,0.2875,0.2875
mentee_64c7a446,5,5,1,5,0.2875,0.2875,0.1375,0.2875
mentee_c972bd3c,3,1,2,3,0.3,0.1667,0.2333,0.3
mentee_98c41167,3,3,3,1,0.28,0.28,0.28,0.16
mentee_d00d1bd6,2,2,5,4,0.1923,0.1923,0.3308,0.2846
mentee_230677c8,1,2,1,1,0.22,0.34,0.22,0.22
mentee_746ec738,5,2,4,4,0.3,0.18,0.26,0.26
mentee_ffbbd830,4,3,2,3,0.3,0.25,0.2,0.25
mentee_5b3542ab,3,3,5,5,0.2125,0.2125,0.2875,0.2875
mentee_5fce0317,1,1,2,2,0.2,0.2,0.3,0.3
mentee_550d3838,5,1,1,3,0.4,0.16,0.16,0.28
mentee_2df16401,4,4,4,5,0.2412,0.2412,0.2412,0.2765
mentee_ec89444c,4,4,3,2,0.2846,0.2846,0.2385,0.1923
mentee_44f22d32,5,1,3,4,0.3308,0.1462,0.2385,0.2846
mentee_6881d49b,1,3,5,4,0.1462,0.2385,0.3308,0.2846
mentee_b0eb1ddd,5,3,1,2,0.3727,0.2636,0.1545,0.2091
mentee_ca4ec37d,4,5,1,1,0.3182,0.3727,0.1545,0.1545
mentee_29f23167,2,3,2,2,0.2333,0.3,0.2333,0.2333
mentee_76c80c40,3,3,3,1,0.28,0.28,0.28,0.16
mentee_d6a51b53,1,4,4,2,0.1545,0.3182,0.3182,0.2091
mentee_e332e7e4,2,4,5,2,0.1923,0.2846,0.3308,0.1923
mentee_3a7408c4,5,5,3,1,0.3143,0.3143,0.2286,0.1429
mentee_1ae5303d,4,1,4,1,0.34,0.16,0.34,0.16
mentee_0115acd1,4,1,3,5,0.2846,0.1462,0.2385,0.3308
mentee_b6971926,4,5,4,4,0.2412,0.2765,0.2412,0.2412
mentee_3e5ad424,3,1,4,1,0.3,0.1667,0.3667,0.1667
mentee_2cdc30e6,3,2,5,4,0.2286,0.1857,0.3143,0.2714
mentee_ccfb4efe,3,1,4,1,0.3,0.1667,0.3667,0.1667
mentee_8362e287,2,4,5,4,0.18,0.26,0.3,0.26
mentee_31780a19,5,1,4,3,0.3308,0.1462,0.2846,0.2385
mentee_12741f23,3,2,3,2,0.28,0.22,0.28,0.22
mentee_1f3fc416,1,5,1,5,0.15,0.35,0.15,0.35
mentee_cf45d0a9,5,2,3,3,0.3308,0.1923,0.2385,0.2385
mentee_1fc6ce49,2,2,1,2,0.2714,0.2714,0.1857,0.2714
mentee_bd1e307b,3,2,2,5,0.25,0.2,0.2,0.35
mentee_8408480a,2,1,2,4,0.2333,0.1667,0.2333,0.3667
mentee_9e0790be,4,5,5,4,0.2333,0.2667,0.2667,0.2333
mentee_27f61717,5,5,3,3,0.2875,0.2875,0.2125,0.2125
mentee_994dba7a,2,4,1,4,0.2091,0.3182,0.1545,0.3182
mentee_d0838907,4,3,3,5,0.26,0.22,0.22,0.3
mentee_21484daf,1,3,5,1,0.16,0.28,0.4,0.16
mentee_6366d214,3,4,4,1,0.25,0.3,0.3,0.15
mentee_0b50d709,1,3,3,1,0.175,0.325,0.325,0.175
mentee_178a1763,1,5,5,5,0.1375,0.2875,0.2875,0.2875
mentee_dba271d3,4,4,5,5,0.2333,0.2333,0.2667,0.2667
mentee_7c515f8a,1,4,5,2,0.15,0.3,0.35,0.2
mentee_f23824a2,3,5,4,5,0.2059,0.2765,0.2412,0.2765
mentee_2e527859,2,1,4,1,0.25,0.175,0.4,0.175
mentee_76fddc3a,3,1,5,2,0.2636,0.1545,0.3727,0.2091
mentee_90ca3fd1,1,2,4,4,0.1545,0.2091,0.3182,0.3182
mentee_5692fd7a,5,5,5,2,0.2765,0.2765,0.2765,0.1706
mentee_81f78579,3,3,3,4,0.2385,0.2385,0.2385,0.2846
mentee_18fdd843,4,3,5,1,0.2846,0.2385,0.3308,0.1462
mentee_0b9bd729,3,1,3,1,0.325,0.175,0.325,0.175
mentee_efbfef96,5,4,3,3,0.3,0.26,0.22,0.22
mentee_33731b6c,5,2,3,1,0.3727,0.2091,0.2636,0.1545
mentee_69413bdb,5,2,3,3,0.3308,0.1923,0.2385,0.2385
mentee_c20b9413,4,2,5,1,0.3,0.2,0.35,0.15
mentee_3850e5ff,3,5,4,3,0.22,0.3,0.26,0.22
mentee_899f7206,2,5,1,4,0.2,0.35,0.15,0.3
mentee_64b5f7d9,5,3,1,3,0.35,0.25,0.15,0.25
mentee_57fa5961,3,2,2,3,0.28,0.22,0.22,0.28
mentee_f2932020,4,2,2,2,0.34,0.22,0.22,0.22
mentee_51537b5b,2,1,3,1,0.2714,0.1857,0.3571,0.1857
mentee_59630086,5,5,5,1,0.2875,0.2875,0.2875,0.1375
mentee_a17030d6,3,5,2,5,0.22,0.3,0.18,0.3
mentee_789ebcd7,4,2,2,2,0.34,0.22,0.22,0.22
mentee_d5f1984b,5,2,4,1,0.35,0.2,0.3,0.15
mentee_71aef04d,4,3,2,4,0.2846,0.2385,0.1923,0.2846
mentee_115e6f5b,5,3,4,2,0.3143,0.2286,0.2714,0.1857
mentee_c152b80a,5,2,3,4,0.3143,0.1857,0.2286,0.2714
mentee_c101e137,2,3,5,4,0.1857,0.2286,0.3143,0.2714
mentee_5613e676,4,3,4,5,0.25,0.2125,0.25,0.2875
mentee_bd5998a5,5,4,2,2,0.3308,0.2846,0.1923,0.1923
mentee_73123ecb,5,2,3,1,0.3727,0.2091,0.2636,0.1545
mentee_18fa84dd,4,3,5,1,0.2846,0.2385,0.3308,0.1462
mentee_8a8d9dd9,5,1,3,1,0.4,0.16,0.28,0.16
mentee_faeecc3b,2,3,4,5,0.1857,0.2286,0.2714,0.3143
mentee_38000511,2,4,1,2,0.2333,0.3667,0.1667,0.2333
mentee_1e0ac60d,4,3,1,4,0.3,0.25,0.15,0.3
mentee_75be07c5,1,4,5,3,0.1462,0.2846,0.3308,0.2385
mentee_c3ef22df,2,4,1,3,0.22,0.34,0.16,0.28
mentee_3e28343f,2,1,3,1,0.2714,0.1857,0.3571,0.1857
mentee_9b878739,3,2,2,1,0.325,0.25,0.25,0.175
mentee_da94c7a6,3,4,2,4,0.2385,0.2846,0.1923,0.2846
mentee_ba986dd9,4,5,1,1,0.3182,0.3727,0.1545,0.1545
mentee_f8fa390e,1,3,2,2,0.175,0.325,0.25,0.25
mentee_bf7d7875,5,5,5,4,0.2579,0.2579,0.2579,0.2263
mentee_197cb9b4,1,3,2,3,0.1667,0.3,0.2333,0.3
mentee_c23298d1,1,1,2,4,0.175,0.175,0.25,0.4
mentee_a62f350e,5,4,1,1,0.3727,0.3182,0.1545,0.1545
mentee_c62978b1,4,5,5,1,0.26,0.3,0.3,0.14
mentee_1ce80967,5,5,2,2,0.3143,0.3143,0.1857,0.1857
mentee_9cd09bb1,3,4,1,5,0.2385,0.2846,0.1462,0.3308
mentee_71b5b444,3,2,5,4,0.2286,0.1857,0.3143,0.2714
mentee_58b2df4a,2,1,5,3,0.2091,0.1545,0.3727,0.2636
mentee_16e2246a,1,5,5,5,0.1375,0.2875,0.2875,0.2875
mentee_c82817b3,5,5,1,4,0.3,0.3,0.14,0.26
mentee_600ee19d,4,1,4,3,0.3,0.15,0.3,0.25
mentee_0e39ef3b,3,1,3,1,0.325,0.175,0.325,0.175
mentee_1ae52774,3,2,1,5,0.2636,0.2091,0.1545,0.3727
mentee_dda8bbe2,3,2,1,3,0.3,0.2333,0.1667,0.3
mentee_82387a7d,5,3,2,4,0.3143,0.2286,0.1857,0.2714
mentee_6ca819e5,4,2,2,1,0.3667,0.2333,0.2333,0.1667
mentee_e8154364,4,1,3,2,0.34,0.16,0.28,0.22
mentee_23db1356,1,2,1,3,0.1857,0.2714,0.1857,0.3571
mentee_4f9ce4b1,3,5,4,5,0.2059,0.2765,0.2412,0.2765
mentee_875a5cf3,4,3,1,2,0.34,0.28,0.16,0.22
mentee_659af3b1,3,3,1,3,0.28,0.28,0.16,0.28
mentee_49b6fb59,3,1,3,4,0.2636,0.1545,0.2636,0.3182
