mentee_id,found,ideal_rank,top_k
mentee_6662cb89,False,not_found,mentor_6a8c644c|mentor_f061e9b1|mentor_5356ff1f|mentor_7d013eba|mentor_13adc44c
mentee_acdde5b7,True,1,ideal_63|mentor_6a8c644c|mentor_e7b42494|mentor_13adc44c|mentor_f53954ec
mentee_602f8c84,True,4,mentor_29db4157|mentor_9376b8e5|mentor_7dcec47c|ideal_64|mentor_8157f173
mentee_b16611a2,True,1,ideal_65|mentor_322f6d04|mentor_085cc4b3|mentor_afdd32d9|mentor_363fb4a9
mentee_931d8038,True,1,ideal_66|mentor_6ea7b2e6|mentor_a49c021b|mentor_b50ca85b|mentor_b0698586
mentee_23c042c6,True,5,mentor_e3aafe82|mentor_6243d498|mentor_dceb1a85|mentor_9d85cb50|ideal_67
mentee_b5a2dd6b,True,1,ideal_68|mentor_99547005|mentor_6aea9f28|mentor_5f221e59|mentor_7863f0b7
mentee_23b6f101,False,not_found,mentor_29db4157|mentor_7dcec47c|mentor_9376b8e5|mentor_daf2fb06|mentor_d9aac2c5
mentee_5741cfe5,True,5,mentor_29db4157|mentor_daf2fb06|mentor_9376b8e5|mentor_620158ec|ideal_70
mentee_b89f5df6,True,2,mentor_363fb4a9|ideal_71|mentor_afdd32d9|mentor_2cf30255|mentor_a1c6e70c
mentee_fb11b777,True,1,ideal_72|mentor_72037369|mentor_f96942c9|mentor_1af924a5|mentor_5da17fb2
mentee_7036c6a3,True,3,mentor_bc98518f|mentor_4a130eba|ideal_73|mentor_1b5a3c7b|mentor_6026b9dd
mentee_752a1ddd,True,1,ideal_74|mentor_a1c6e70c|mentor_88cbe87c|mentor_1ef38982|mentor_3d789bfe
mentee_2e3c81ca,True,2,mentor_ea3ee7bd|ideal_75|mentor_549c47f6|mentor_0f522631|mentor_d8bdc449
mentee_8ca14522,True,2,mentor_f061e9b1|ideal_76|mentor_acae150b|mentor_4c692410|mentor_6a8c644c
mentee_74f9f2af,True,1,ideal_77|mentor_72037369|mentor_f96942c9|mentor_1af924a5|mentor_e2914127
mentee_a467bf23,False,not_found,mentor_b671d7f6|mentor_deb7b68e|mentor_320dae5f|mentor_75b6e3e8|mentor_4f6ed4ff
mentee_73f9f11c,True,3,mentor_7863f0b7|mentor_99547005|ideal_79|mentor_0c16400f|mentor_6aea9f28
mentee_5d7dcb5c,True,3,mentor_f1d748a6|mentor_f313baa5|ideal_80|mentor_b0774b69|mentor_52e8e236
mentee_888032e4,False,not_found,mentor_98af95b1|mentor_5e9ee3e2|mentor_ad54e43c|mentor_457278e0|mentor_d9156405
mentee_6074edfd,False,not_found,mentor_6c56c753|mentor_a669ea81|mentor_831c2282|mentor_45a7f003|mentor_04d4bf40
mentee_dee35292,True,2,mentor_c44e63fa|ideal_83|mentor_afdd32d9|mentor_a1c6e70c|mentor_1c566ccd
mentee_d4260949,True,3,mentor_6243d498|mentor_39e6e908|ideal_84|mentor_baf4454e|mentor_113c1958
mentee_9215e584,True,5,mentor_a669ea81|mentor_6c56c753|mentor_04d4bf40|mentor_07276bdc|ideal_85
mentee_deb3ba21,True,2,mentor_29db4157|ideal_86|mentor_54d8d4c7|mentor_620158ec|mentor_f05f3cfd
mentee_a9652519,True,4,mentor_5e9ee3e2|mentor_4c444d29|mentor_457278e0|ideal_87|mentor_f1b6cb59
mentee_9e031dce,False,not_found,mentor_b671d7f6|mentor_deb7b68e|mentor_320dae5f|mentor_75b6e3e8|mentor_913da29f
mentee_1f6d45b9,True,2,mentor_6243d498|ideal_89|mentor_467dea2c|mentor_18355bc9|mentor_c1d7ecd8
mentee_12a61d18,True,2,mentor_bc98518f|ideal_90|mentor_4a130eba|mentor_ea3ee7bd|mentor_1e846c00
mentee_cecf1c0d,True,3,mentor_b50ca85b|mentor_6ea7b2e6|ideal_91|mentor_b0698586|mentor_a49c021b
mentee_98c0e846,True,5,mentor_c651bc16|mentor_45a7f003|mentor_831c2282|mentor_6c56c753|ideal_92
mentee_aa92e59a,False,not_found,mentor_b671d7f6|mentor_deb7b68e|mentor_320dae5f|mentor_75b6e3e8|mentor_913da29f
mentee_349b45b4,True,2,mentor_c44e63fa|ideal_94|mentor_2cf30255|mentor_1ef38982|mentor_afdef75d
mentee_236a25f2,True,5,mentor_f061e9b1|mentor_6a8c644c|mentor_e7b42494|mentor_13adc44c|ideal_95
mentee_ec59e1e6,True,4,mentor_b671d7f6|mentor_148fff02|mentor_deb7b68e|ideal_96|mentor_75b6e3e8
mentee_ed6b4cc4,True,4,mentor_29db4157|mentor_7dcec47c|mentor_9376b8e5|ideal_97|mentor_bea5d5a1
mentee_f07114a7,True,4,mentor_ea3ee7bd|mentor_d293ef1f|mentor_bc98518f|ideal_98|mentor_4a130eba
mentee_d0477297,False,not_found,mentor_98af95b1|mentor_ad54e43c|mentor_debaa91f|mentor_457278e0|mentor_f313baa5
mentee_de93240b,True,4,mentor_d539ab4f|mentor_39e6e908|mentor_6243d498|ideal_100|mentor_18355bc9
mentee_a622aa97,True,3,mentor_9376b8e5|mentor_daf2fb06|ideal_101|mentor_ac4fc9b2|mentor_fec1a45e
mentee_60e59998,True,2,mentor_320dae5f|ideal_102|mentor_b671d7f6|mentor_75b6e3e8|mentor_423c5118
mentee_02012a6d,False,not_found,mentor_b671d7f6|mentor_deb7b68e|mentor_320dae5f|mentor_148fff02|mentor_d7038196
mentee_1f7cc44c,True,5,mentor_831c2282|mentor_bea545d3|mentor_a669ea81|mentor_45a7f003|ideal_104
mentee_8d923489,True,2,mentor_f1b6cb59|ideal_105|mentor_e13c245d|mentor_52e8e236|mentor_af592953
mentee_591f4e9d,True,5,mentor_457278e0|mentor_d9156405|mentor_4c444d29|mentor_7756dcad|ideal_106
mentee_4c6b9eba,False,not_found,mentor_29db4157|mentor_7dcec47c|mentor_9376b8e5|mentor_daf2fb06|mentor_620158ec
mentee_64b28b72,True,2,mentor_f061e9b1|ideal_108|mentor_83728d83|mentor_6a8c644c|mentor_4c692410
mentee_f1b202d9,True,2,mentor_cc33e267|ideal_109|mentor_288413bd|mentor_a49c021b|mentor_3664ddff
mentee_f5b50512,True,3,mentor_debaa91f|mentor_4c444d29|ideal_110|mentor_b0774b69|mentor_ad54e43c
mentee_d2616563,True,2,mentor_323bccce|ideal_111|mentor_de3a15ec|mentor_6c95988c|mentor_abf5d928
mentee_fd65002c,True,1,ideal_112|mentor_ea3ee7bd|mentor_1b5a3c7b|mentor_72c424d1|mentor_faf364e2
mentee_44f22d32,True,4,mentor_ea3ee7bd|mentor_bc98518f|mentor_1e846c00|ideal_113|mentor_4a130eba
mentee_daa84b53,True,5,mentor_6243d498|mentor_e3aafe82|mentor_9d85cb50|mentor_dceb1a85|ideal_114
mentee_c3d24bde,True,3,mentor_f061e9b1|mentor_e3aafe82|ideal_115|mentor_acae150b|mentor_6546242f
mentee_869e2015,True,5,mentor_6a8c644c|mentor_e7b42494|mentor_4c518774|mentor_13adc44c|ideal_116
mentee_c19a228b,True,5,mentor_e3aafe82|mentor_6243d498|mentor_dceb1a85|mentor_fd488a4d|ideal_117
mentee_4077793e,True,1,ideal_118|mentor_ea3ee7bd|mentor_d293ef1f|mentor_d8bdc449|mentor_549c47f6
mentee_fb9921b2,True,5,mentor_deb7b68e|mentor_b671d7f6|mentor_320dae5f|mentor_75b6e3e8|ideal_119
mentee_8a3b21c3,True,1,ideal_120|mentor_de3a15ec|mentor_b7f217f1|mentor_afdd32d9|mentor_322f6d04
mentee_6b7677b0,True,5,mentor_457278e0|mentor_5e9ee3e2|mentor_d9156405|mentor_4c444d29|ideal_121
mentee_e3cfd216,True,2,mentor_ea3ee7bd|ideal_122|mentor_f06d8ee8|mentor_549c47f6|mentor_d8bdc449
mentee_8e9438fa,True,2,mentor_ea3ee7bd|ideal_123|mentor_bc98518f|mentor_1e846c00|mentor_4a130eba
mentee_92f4a0f3,True,4,mentor_f061e9b1|mentor_5356ff1f|mentor_83728d83|ideal_124|mentor_61dbae99
mentee_77095169,True,2,mentor_c44e63fa|ideal_125|mentor_363fb4a9|mentor_322f6d04|mentor_085cc4b3
mentee_c5924679,False,not_found,mentor_9376b8e5|mentor_29db4157|mentor_620158ec|mentor_d9aac2c5|mentor_54d8d4c7
mentee_ea9cd639,True,1,ideal_127|mentor_363fb4a9|mentor_a1c6e70c|mentor_3d789bfe|mentor_e90188c7
mentee_b0eb1ddd,True,2,mentor_6a8c644c|ideal_128|mentor_f53954ec|mentor_2c29357e|mentor_95d74408
mentee_91d1ca8f,False,not_found,mentor_b671d7f6|mentor_deb7b68e|mentor_148fff02|mentor_320dae5f|mentor_fa1703d1
mentee_71d2ac7e,True,1,ideal_130|mentor_9376b8e5|mentor_daf2fb06|mentor_fec1a45e|mentor_ac4fc9b2
mentee_6fb6f3f8,True,1,ideal_131|mentor_ea3ee7bd|mentor_4a130eba|mentor_d8bdc449|mentor_1e846c00
mentee_2bd47621,True,5,mentor_e3aafe82|mentor_6243d498|mentor_dceb1a85|mentor_9d85cb50|ideal_132
mentee_0d2c19b4,False,not_found,mentor_29db4157|mentor_7dcec47c|mentor_9376b8e5|mentor_daf2fb06|mentor_d9aac2c5
mentee_15964c44,False,not_found,mentor_e7b42494|mentor_6a8c644c|mentor_f061e9b1|mentor_5356ff1f|mentor_7d013eba
mentee_6ec711f9,True,2,mentor_72037369|ideal_135|mentor_5da17fb2|mentor_f73df581|mentor_1af924a5
mentee_c1d33b85,True,3,mentor_bea545d3|mentor_831c2282|ideal_136|mentor_fcda6bbf|mentor_01ea6b7a
mentee_922279b0,True,1,ideal_137|mentor_322f6d04|mentor_085cc4b3|mentor_13947eb3|mentor_55e391d8
mentee_e88a24f1,False,not_found,mentor_5e9ee3e2|mentor_457278e0|mentor_7756dcad|mentor_d9156405|mentor_f1b6cb59
mentee_5f59b0d3,True,1,ideal_139|mentor_d293ef1f|mentor_ea3ee7bd|mentor_1b5a3c7b|mentor_549c47f6
mentee_4015d3c1,True,2,mentor_bc98518f|ideal_140|mentor_ea3ee7bd|mentor_d8bdc449|mentor_4a130eba
mentee_95979226,True,3,mentor_d88f2e6c|mentor_9fb7dbf4|ideal_141|mentor_985d2e99|mentor_6aea9f28
mentee_34b0c415,True,4,mentor_f061e9b1|mentor_5356ff1f|mentor_e7b42494|ideal_142|mentor_7d013eba
mentee_9f44b74c,True,4,mentor_e3aafe82|mentor_6243d498|mentor_dceb1a85|ideal_143|mentor_9d85cb50
mentee_765d6cd2,False,not_found,mentor_ea3ee7bd|mentor_1e846c00|mentor_6026b9dd|mentor_bc98518f|mentor_4a130eba
mentee_8f0ea27c,True,2,mentor_deb7b68e|ideal_145|mentor_074817ee|mentor_320dae5f|mentor_98d53390
mentee_b4f91744,True,3,mentor_9376b8e5|mentor_daf2fb06|ideal_146|mentor_fec1a45e|mentor_ac4fc9b2
mentee_65c2a63b,False,not_found,mentor_831c2282|mentor_bea545d3|mentor_6c56c753|mentor_a669ea81|mentor_45a7f003
mentee_64c0ed42,False,not_found,mentor_29db4157|mentor_7dcec47c|mentor_9376b8e5|mentor_daf2fb06|mentor_620158ec
mentee_f4321a19,True,1,ideal_149|mentor_df1bdce4|mentor_e62e0294|mentor_ac2f9424|mentor_11dbda52
