mentee_id,mentor_id,rank,final_score,is_boosted,top_factor,profile_penalized,main_reason,matching_skills,learn_from_mentor,explain_skill,explain_domain,explain_exp,explain_rating
mentee_a4a329e9,mentor_a49c021b,3,0.6971,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 24%.,,a/b testing; amplitude; google analytics,Навыки не указаны — штраф 24%.,Product Analytics → Product Analytics: смежные области (схожесть 0.66).,18 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_a4a329e9,mentor_288413bd,4,0.6308,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 24%.,,a/b testing; amplitude; excel,Навыки не указаны — штраф 24%.,Product Analytics → Product Analytics: смежные области (схожесть 0.66).,16 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_a4a329e9,mentor_6243d498,5,0.6249,True,rating,True,Профиль неполный — навыки не указаны. Score снижен на 24%.,,docker; kafka; numpy,Навыки не указаны — штраф 24%.,Product Analytics → Data Science: разные области (схожесть 0.29).,19 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_e3b74a40,mentor_11dbda52,1,0.6398,False,exp,True,Профиль неполный — навыки не указаны. Score снижен на 31%.,,allure; api testing; appium,Навыки не указаны — штраф 31%.,QA → QA: смежные области (схожесть 0.65).,18 лет — видел многое.,Рейтинг 4.6/5.0 — один из лучших.
mentee_e3b74a40,mentor_d88f2e6c,2,0.6315,True,exp,True,Профиль неполный — навыки не указаны. Score снижен на 31%.,,allure; api testing; appium,Навыки не указаны — штраф 31%.,QA → QA: смежные области (схожесть 0.66).,19 лет — видел многое.,Рейтинг 3.5/5.0.
mentee_e3b74a40,mentor_cc33e267,3,0.6146,True,exp,True,Профиль неполный — навыки не указаны. Score снижен на 31%.,,a/b testing; amplitude; excel,Навыки не указаны — штраф 31%.,QA → Product Analytics: разные области (схожесть 0.21).,19 лет — видел многое.,Рейтинг 4.9/5.0 — один из лучших.
mentee_e3b74a40,mentor_985d2e99,4,0.6108,True,exp,True,Профиль неполный — навыки не указаны. Score снижен на 31%.,,appium; cypress; jira,Навыки не указаны — штраф 31%.,QA → QA: смежные области (схожесть 0.66).,15 лет — видел многое.,Рейтинг 4.2/5.0.
mentee_e3b74a40,mentor_6243d498,5,0.609,True,exp,True,Профиль неполный — навыки не указаны. Score снижен на 31%.,,docker; kafka; numpy,Навыки не указаны — штраф 31%.,QA → Data Science: разные области (схожесть 0.19).,19 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_08e4bff8,mentor_a669ea81,1,0.9734,False,exp,False,Большой опыт: 20 лет.,angular; css; figma; vite; webpack,graphql; html; next.js,"Совпадают 5: angular, css, figma, vite. Можно научиться: graphql, html, next.js.",Frontend → Frontend: очень близкие области (схожесть 0.79).,20 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_08e4bff8,mentor_6c56c753,2,0.95,False,exp,False,Большой опыт: 15 лет.,angular; css; figma; vite; webpack,graphql; html; javascript,"Совпадают 5: angular, css, figma, vite. Можно научиться: graphql, html, javascript.",Frontend → Frontend: очень близкие области (схожесть 0.80).,15 лет — видел многое.,Рейтинг 4.8/5.0 — один из лучших.
mentee_08e4bff8,mentor_04d4bf40,3,0.9451,False,exp,False,Большой опыт: 17 лет.,angular; css; figma; vite; webpack,graphql; html; javascript,"Совпадают 5: angular, css, figma, vite. Можно научиться: graphql, html, javascript.",Frontend → Frontend: очень близкие области (схожесть 0.81).,17 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_08e4bff8,mentor_07276bdc,4,0.9257,False,exp,False,Большой опыт: 16 лет.,angular; figma; vite; webpack,a/b testing; html; javascript,"Совпадают 4: angular, figma, vite, webpack. Можно научиться: a/b testing, html, javascript.",Frontend → Frontend: очень близкие области (схожесть 0.80).,16 лет — видел многое.,Рейтинг 4.4/5.0.
mentee_08e4bff8,mentor_e90c474d,5,0.8992,False,exp,False,Большой опыт: 16 лет.,angular; css; figma; vite,graphql; html; javascript,"Совпадают 4: angular, css, figma, vite. Можно научиться: graphql, html, javascript.",Frontend → Frontend: очень близкие области (схожесть 0.79).,16 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_ff7a72b7,mentor_deb7b68e,1,1.029,True,domain,False,Оба из Game Development.,c#; game design; unity,blender; c++; opengl,"Совпадают 3: c#, game design, unity. Можно научиться: blender, c++, opengl.",Game Development → Game Development: очень близкие области (схожесть 0.70).,16 лет — видел многое.,Рейтинг 4.4/5.0.
mentee_ff7a72b7,mentor_148fff02,2,0.9757,True,domain,False,Оба из Game Development.,c#; game design; physics simulation; unity,blender; git; lua,"Совпадают 4: c#, game design, physics simulation, unity. Можно научиться: blender, git, lua.",Game Development → Game Development: смежные области (схожесть 0.69).,9 лет — хорошая база.,Рейтинг 4.6/5.0 — один из лучших.
mentee_ff7a72b7,mentor_fa1703d1,3,0.9222,True,domain,False,Оба из Game Development.,game design; physics simulation; unity,blender; c++; git,"Совпадают 3: game design, physics simulation, unity. Можно научиться: blender, c++, git.",Game Development → Game Development: смежные области (схожесть 0.69).,9 лет — хорошая база.,Рейтинг 4.2/5.0.
mentee_ff7a72b7,mentor_db30ab52,4,0.8927,False,domain,False,Оба из Game Development.,c#; game design; physics simulation; unity,blender; c++; git,"Совпадают 4: c#, game design, physics simulation, unity. Можно научиться: blender, c++, git.",Game Development → Game Development: очень близкие области (схожесть 0.70).,10 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_ff7a72b7,mentor_9b2723ce,5,0.871,True,domain,False,Оба из Game Development.,c#; game design; physics simulation; unity,blender; c++; git,"Совпадают 4: c#, game design, physics simulation, unity. Можно научиться: blender, c++, git.",Game Development → Game Development: смежные области (схожесть 0.69).,9 лет — хорошая база.,Рейтинг 3.9/5.0.
mentee_1881803f,mentor_deb7b68e,1,1.0365,True,domain,False,Оба из Game Development.,blender; c#; c++; opengl; python; unity; unreal engine,game design,"Совпадают 7: blender, c#, c++, opengl. Можно научиться: game design.",Game Development → Game Development: смежные области (схожесть 0.70).,16 лет — видел многое.,Рейтинг 4.4/5.0.
mentee_1881803f,mentor_148fff02,2,0.9855,True,domain,False,Оба из Game Development.,blender; c#; opengl; physics simulation; python; unity; unreal engine,game design; git; lua,"Совпадают 7: blender, c#, opengl, physics simulation. Можно научиться: game design, git, lua.",Game Development → Game Development: смежные области (схожесть 0.69).,9 лет — хорошая база.,Рейтинг 4.6/5.0 — один из лучших.
mentee_1881803f,mentor_75b6e3e8,3,0.9788,False,domain,False,Оба из Game Development.,blender; c#; c++; opengl; physics simulation; python; unity; unreal engine,game design; git; lua,"Совпадают 8: blender, c#, c++, opengl. Можно научиться: game design, git, lua.",Game Development → Game Development: смежные области (схожесть 0.70).,18 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_1881803f,mentor_fa1703d1,4,0.9685,True,domain,False,Оба из Game Development.,blender; c++; opengl; physics simulation; python; unity; unreal engine,game design; git; xcode,"Совпадают 7: blender, c++, opengl, physics simulation. Можно научиться: game design, git, xcode.",Game Development → Game Development: смежные области (схожесть 0.68).,9 лет — хорошая база.,Рейтинг 4.2/5.0.
mentee_1881803f,mentor_783645cd,5,0.9424,True,domain,False,Оба из Game Development.,c#; c++; opengl; physics simulation; unity; unreal engine,git; lua,"Совпадают 6: c#, c++, opengl, physics simulation. Можно научиться: git, lua.",Game Development → Game Development: смежные области (схожесть 0.70).,10 лет — видел многое.,Рейтинг 3.9/5.0.
mentee_a867cc1d,mentor_d293ef1f,1,0.9751,False,exp,False,Большой опыт: 17 лет.,burp suite; cryptography; linux; metasploit; network security; nmap; owasp; python; wireshark,penetration testing; siem,"Совпадают 9: burp suite, cryptography, linux, metasploit. Можно научиться: penetration testing, siem.",Cybersecurity → Cybersecurity: очень близкие области (схожесть 0.70).,17 лет — видел многое.,Рейтинг 4.8/5.0 — один из лучших.
mentee_a867cc1d,mentor_bc98518f,2,0.9534,False,exp,False,Большой опыт: 19 лет.,burp suite; cryptography; linux; metasploit; network security; nmap; owasp,penetration testing; siem,"Совпадают 7: burp suite, cryptography, linux, metasploit. Можно научиться: penetration testing, siem.",Cybersecurity → Cybersecurity: очень близкие области (схожесть 0.70).,19 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_a867cc1d,mentor_4a130eba,3,0.9321,False,exp,False,Большой опыт: 18 лет.,burp suite; cryptography; network security; nmap; owasp; wireshark,penetration testing; siem,"Совпадают 6: burp suite, cryptography, network security, nmap. Можно научиться: penetration testing, siem.",Cybersecurity → Cybersecurity: смежные области (схожесть 0.70).,18 лет — видел многое.,Рейтинг 4.4/5.0.
mentee_a867cc1d,mentor_d8bdc449,4,0.8967,False,rating,False,Высокий рейтинг: 4.6/5.0.,burp suite; linux; metasploit; network security; nmap; python; wireshark,penetration testing; siem,"Совпадают 7: burp suite, linux, metasploit, network security. Можно научиться: penetration testing, siem.",Cybersecurity → Cybersecurity: смежные области (схожесть 0.70).,12 лет — видел многое.,Рейтинг 4.6/5.0 — один из лучших.
mentee_a867cc1d,mentor_bbb6a577,5,0.894,False,exp,False,Большой опыт: 14 лет.,metasploit; network security; nmap; owasp; python; wireshark,penetration testing; siem,"Совпадают 6: metasploit, network security, nmap, owasp. Можно научиться: penetration testing, siem.",Cybersecurity → Cybersecurity: смежные области (схожесть 0.70).,14 лет — видел многое.,Рейтинг 4.4/5.0.
mentee_6cb2c7d8,mentor_c44e63fa,1,1.0033,True,skill,False,"Совпадают навыки: aws, bash, github actions.",aws; bash; github actions; grafana,azure; docker; gcp,"Совпадают 4: aws, bash, github actions, grafana. Можно научиться: azure, docker, gcp.",DevOps → DevOps: смежные области (схожесть 0.70).,6 лет — хорошая база.,Рейтинг 4.4/5.0.
mentee_6cb2c7d8,mentor_b2d6daa4,2,0.8928,False,rating,False,Высокий рейтинг: 5.0/5.0.,aws; github actions; grafana,gcp; helm; jenkins,"Совпадают 3: aws, github actions, grafana. Можно научиться: gcp, helm, jenkins.",DevOps → DevOps: очень близкие области (схожесть 0.70).,5 лет — хорошая база.,Рейтинг 5.0/5.0 — один из лучших.
mentee_6cb2c7d8,mentor_085cc4b3,3,0.8506,False,skill,False,"Совпадают навыки: aws, bash, github actions.",aws; bash; github actions; grafana,ansible; azure; docker,"Совпадают 4: aws, bash, github actions, grafana. Можно научиться: ansible, azure, docker.",DevOps → DevOps: очень близкие области (схожесть 0.70).,19 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_6cb2c7d8,mentor_2cf30255,4,0.7633,False,rating,False,Высокий рейтинг: 4.7/5.0.,aws; grafana,ansible; azure; docker,"Совпадают 2: aws, grafana. Можно научиться: ansible, azure, docker.",DevOps → DevOps: очень близкие области (схожесть 0.70).,11 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_6cb2c7d8,mentor_66cea7cc,5,0.7112,False,skill,False,"Совпадают навыки: aws, github actions, grafana.",aws; github actions; grafana,azure; docker; kubernetes,"Совпадают 3: aws, github actions, grafana. Можно научиться: azure, docker, kubernetes.",DevOps → DevOps: смежные области (схожесть 0.70).,2 лет — хорошая база.,Рейтинг 4.1/5.0.
mentee_d0f4564e,mentor_6243d498,1,0.7959,True,rating,False,Высокий рейтинг: 4.7/5.0.,pandas,docker; kafka; numpy,"Совпадают 1: pandas. Можно научиться: docker, kafka, numpy.",Data Science → Data Science: смежные области (схожесть 0.60).,19 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_d0f4564e,mentor_9d15fed7,2,0.7248,False,rating,False,Высокий рейтинг: 4.3/5.0.,pandas; scikit-learn,airflow; docker; kafka,"Совпадают 2: pandas, scikit-learn. Можно научиться: airflow, docker, kafka.",Data Science → Data Science: смежные области (схожесть 0.61).,17 лет — видел многое.,Рейтинг 4.3/5.0.
mentee_d0f4564e,mentor_467dea2c,3,0.7151,False,rating,False,Высокий рейтинг: 5.0/5.0.,scikit-learn,airflow; kafka; mlflow,"Совпадают 1: scikit-learn. Можно научиться: airflow, kafka, mlflow.",Data Science → Data Science: смежные области (схожесть 0.59).,12 лет — видел многое.,Рейтинг 5.0/5.0 — один из лучших.
mentee_d0f4564e,mentor_1f8f33d5,4,0.6227,False,rating,False,Высокий рейтинг: 4.5/5.0.,pandas,airflow; docker; kafka,"Совпадают 1: pandas. Можно научиться: airflow, docker, kafka.",Data Science → Data Science: смежные области (схожесть 0.60).,10 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_d0f4564e,mentor_99e26909,5,0.6155,False,rating,False,Высокий рейтинг: 4.1/5.0.,scikit-learn,numpy; pytorch; r,"Совпадают 1: scikit-learn. Можно научиться: numpy, pytorch, r.",Data Science → Data Science: смежные области (схожесть 0.60).,11 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_a0538645,mentor_a49c021b,1,0.8946,False,rating,False,Высокий рейтинг: 4.5/5.0.,amplitude; looker; sql,a/b testing; google analytics; python,"Совпадают 3: amplitude, looker, sql. Можно научиться: a/b testing, google analytics, python.",Product Analytics → Product Analytics: смежные области (схожесть 0.66).,18 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_a0538645,mentor_26efd06d,2,0.8454,False,domain,False,Оба из Product Analytics.,amplitude; excel; looker; power bi; sql,a/b testing; google analytics; python,"Совпадают 5: amplitude, excel, looker, power bi. Можно научиться: a/b testing, google analytics, python.",Product Analytics → Product Analytics: смежные области (схожесть 0.66).,19 лет — видел многое.,Рейтинг 3.9/5.0.
mentee_a0538645,mentor_3664ddff,3,0.8298,False,domain,False,Оба из Product Analytics.,amplitude; excel; looker; power bi; sql,a/b testing; google analytics; mixpanel,"Совпадают 5: amplitude, excel, looker, power bi. Можно научиться: a/b testing, google analytics, mixpanel.",Product Analytics → Product Analytics: смежные области (схожесть 0.66).,16 лет — видел многое.,Рейтинг 3.9/5.0.
mentee_a0538645,mentor_6da5f668,4,0.8184,False,domain,False,Оба из Product Analytics.,amplitude; excel; power bi; sql,a/b testing; google analytics; python,"Совпадают 4: amplitude, excel, power bi, sql. Можно научиться: a/b testing, google analytics, python.",Product Analytics → Product Analytics: смежные области (схожесть 0.65).,11 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_a0538645,mentor_9ee51997,5,0.8119,False,domain,False,Оба из Product Analytics.,amplitude; excel; looker; power bi; sql,burp suite; google analytics; mixpanel,"Совпадают 5: amplitude, excel, looker, power bi. Можно научиться: burp suite, google analytics, mixpanel.",Product Analytics → Product Analytics: смежные области (схожесть 0.64).,9 лет — хорошая база.,Рейтинг 4.2/5.0.
mentee_3ddf1a6c,mentor_b879352b,1,0.707,False,exp,False,Большой опыт: 12 лет.,mongodb; node.js,java; microservices; python,"Совпадают 2: mongodb, node.js. Можно научиться: java, microservices, python.",Backend → Backend: смежные области (схожесть 0.53).,12 лет — видел многое.,Рейтинг 3.6/5.0.
mentee_3ddf1a6c,mentor_13adc44c,2,0.6934,False,exp,False,Большой опыт: 13 лет.,mongodb; node.js,docker; go; grpc,"Совпадают 2: mongodb, node.js. Можно научиться: docker, go, grpc.",Backend → Backend: смежные области (схожесть 0.53).,13 лет — видел многое.,Рейтинг 5.0/5.0 — один из лучших.
mentee_3ddf1a6c,mentor_7b23c9f3,3,0.6617,False,exp,False,Большой опыт: 19 лет.,mongodb; node.js,docker; go; grpc,"Совпадают 2: mongodb, node.js. Можно научиться: docker, go, grpc.",Backend → Backend: смежные области (схожесть 0.53).,19 лет — видел многое.,Рейтинг 3.5/5.0.
