mentor_id,rating,n_reviews
mentor_d92a24cb,2.5,22
mentor_aeab2968,3.5,32
mentor_f548974e,4.7,26
mentor_b2d6daa4,5.0,33
mentor_64434b3b,3.2,25
mentor_fb62e2fb,3.2,36
mentor_be1d053a,3.3,45
mentor_228eb8de,3.7,18
mentor_69ba3329,3.4,29
mentor_8ec7dbb5,3.0,28
mentor_29f33a59,3.8,31
mentor_8acf264f,3.6,22
mentor_ba1dff22,3.0,18
mentor_9a67caac,4.4,31
mentor_9564a2f1,2.0,31
mentor_0e3dfb65,4.5,14
mentor_6da5f668,4.1,22
mentor_d7a294cd,3.4,36
mentor_f91ebba6,3.5,8
mentor_e1ddcbed,4.4,21
mentor_c8541584,3.0,2
mentor_da76ea0c,3.0,40
mentor_40a8fdc6,3.0,53
mentor_2add607b,4.7,22
mentor_ff08ed4f,2.8,19
mentor_615cca08,2.7,46
mentor_6715d708,3.5,22
mentor_49610000,4.7,51
mentor_bdbb5078,3.0,43
mentor_eb5c9134,3.5,36
mentor_26efd06d,3.9,49
mentor_c8e061bb,3.4,24
mentor_dfa853f0,3.5,8
mentor_d88f2e6c,3.5,28
mentor_266c2e85,3.0,19
mentor_4f496cf3,3.0,36
mentor_323bccce,4.0,10
mentor_18a38f03,3.0,53
mentor_1a7ff0cb,4.0,4
mentor_6e507e0a,3.4,41
mentor_5caa765a,2.3,25
mentor_a5ae330b,3.1,45
mentor_06b00543,4.3,35
mentor_152b70ea,3.4,30
mentor_e36bf69c,4.2,7
mentor_e003debe,2.4,23
mentor_69ef6a32,3.4,10
mentor_97f69034,3.0,71
mentor_cef41c30,3.3,23
mentor_90d48b74,3.6,4
mentor_13591a9b,3.6,51
mentor_c043a7da,1.6,17
mentor_aff0153a,3.1,6
mentor_fa1703d1,4.2,38
mentor_595f9985,3.4,4
mentor_496cdead,3.0,33
mentor_acfa5d82,4.1,35
mentor_dd18ead3,2.8,14
mentor_f7e122bb,3.8,26
mentor_1c63d11a,2.9,8
mentor_9b1c2fe5,2.6,19
mentor_2804eada,3.3,26
mentor_66248484,3.0,18
mentor_d67dd077,3.8,28
mentor_2bcf1feb,3.8,32
mentor_c790bdc4,3.5,24
mentor_56105218,4.4,33
mentor_6a50b29e,4.9,20
mentor_148fff02,4.6,26
mentor_c94fe11f,3.7,3
mentor_75b6e3e8,4.7,36
mentor_a7b19e9a,4.2,24
mentor_0f88ed0f,4.2,35
mentor_0c584a8c,3.6,28
mentor_dbf91235,3.5,33
mentor_b5dfbe4c,4.4,2
mentor_427b8523,4.9,29
mentor_827614b2,3.7,12
mentor_f3f8143f,4.3,2
mentor_08e946bf,3.3,54
mentor_52c22ac2,3.1,12
mentor_4c54bfab,4.9,31
mentor_82fab8bd,3.7,34
mentor_d1aec420,4.2,1
mentor_d0bd8cfd,4.1,40
mentor_86a27d13,3.2,23
mentor_e40873c8,4.1,17
mentor_d2671696,3.8,42
mentor_dd837b50,3.7,50
mentor_743944de,3.4,18
mentor_008a1347,4.2,8
mentor_29068797,3.7,3
mentor_857b6041,3.4,25
mentor_e746bd5b,3.9,30
mentor_07276bdc,4.4,41
mentor_10857dd3,3.7,20
mentor_292d8606,2.6,14
mentor_aa3134a0,3.8,15
mentor_d1b296aa,3.9,17
mentor_3a6d242a,3.1,26
mentor_b9ba7e96,3.6,9
mentor_85f58447,3.4,1
mentor_b4e2efca,3.8,55
mentor_47970eba,3.6,20
mentor_5f7c9aff,3.4,24
mentor_bac62d62,4.1,4
mentor_fcda6bbf,4.3,35
mentor_8e694192,3.6,28
mentor_2c29357e,3.5,15
mentor_3a6b5b81,4.4,38
mentor_cb1e8e47,3.3,34
mentor_a6aeaafe,3.5,56
mentor_b07b6e49,3.9,36
mentor_5d578a47,3.2,28
mentor_69da96d8,4.0,32
mentor_0269c879,4.4,5
mentor_593f05c3,3.2,11
mentor_14cf5716,3.9,7
mentor_99e26909,4.1,25
mentor_68891770,3.6,43
mentor_7ef2509f,4.9,37
mentor_28511f32,4.5,12
mentor_d9156405,4.8,45
mentor_c41f71e5,2.7,27
mentor_ecfa4e23,3.6,20
mentor_c9d154dd,3.7,26
mentor_c442872f,4.5,29
mentor_dbce39ba,3.5,30
mentor_8538cfd0,3.8,7
mentor_c2b85b4d,3.5,13
mentor_d9e0e0fa,3.3,6
mentor_78cb1a8d,3.8,22
mentor_b5eb0176,4.3,36
mentor_7f226e61,3.5,31
mentor_5cb4cc3c,4.0,17
mentor_8b36aae9,4.5,29
mentor_fede4fe9,3.5,25
mentor_a04f1c11,4.3,49
mentor_8e5e2026,3.8,19
mentor_3913737e,2.9,26
mentor_ab89a273,3.6,47
mentor_5072d6c3,3.9,25
mentor_89cd46f2,3.1,8
mentor_a18bd8bf,4.0,9
mentor_d09d90d5,4.6,46
mentor_25418c75,4.1,21
mentor_5f221e59,4.2,20
mentor_4af02f56,4.7,21
mentor_8f25406f,4.0,39
mentor_c4fe44f8,4.1,28
mentor_e4499609,3.5,58
mentor_047dc0c4,3.8,51
mentor_7b23c9f3,3.5,25
mentor_dceb1a85,4.4,32
mentor_f38932c4,3.6,17
mentor_c8a27481,4.2,12
mentor_783eb0fc,3.6,22
mentor_60e99e23,2.9,33
mentor_8654fd42,4.8,19
mentor_65226b7b,2.6,47
mentor_3c3697e0,4.0,26
mentor_b808bc23,3.9,29
mentor_3b3985c2,3.3,58
mentor_3df9ada8,4.2,31
mentor_8ab6cb97,4.0,6
mentor_2a8b6a50,3.6,2
mentor_dd5afbbf,3.1,18
mentor_80656465,3.0,14
mentor_51905f49,3.2,21
mentor_0c20d344,2.8,18
mentor_cac643ad,4.5,30
mentor_c1d1c471,3.1,31
mentor_a847144a,4.4,18
mentor_8b61fec3,3.7,49
mentor_6eea956a,3.1,7
mentor_7c60083f,3.3,30
mentor_765d274f,4.5,19
mentor_dafabbf9,3.3,25
mentor_7a6523ec,4.0,33
mentor_a669ea81,4.5,22
mentor_69f76669,3.4,30
mentor_31667e62,4.8,25
mentor_f26cf500,4.4,19
mentor_382f43f1,2.3,11
mentor_bea5d5a1,4.5,19
mentor_874bdbd3,3.9,31
mentor_d22db590,3.6,21
mentor_a49c021b,4.5,48
mentor_85570c0e,4.4,20
mentor_2b4b676d,3.1,11
mentor_5170a4b5,3.6,18
mentor_293e8359,2.6,37
mentor_dfdae7ad,3.1,38
mentor_fe726bb2,4.4,39
mentor_c34a7f48,2.5,31
mentor_e90c474d,4.1,10
mentor_cb94b41b,4.1,26
mentor_dbb48661,3.2,7
mentor_d7402137,3.3,33
mentor_72c90a21,3.8,29
mentor_be732d5d,4.0,38
mentor_3af96d2f,4.0,10
mentor_f5468f3b,4.3,39
mentor_9d6b2648,4.3,35
mentor_fa291cdc,3.2,25
mentor_989eed7f,3.7,6
mentor_a2afa7f4,2.5,25
mentor_77d2ad94,4.1,17
mentor_522cc280,3.4,14
mentor_e36922de,4.0,34
mentor_06d2eff8,4.0,20
mentor_074817ee,3.6,37
mentor_b061abd4,4.1,24
mentor_63c01ecc,4.1,18
mentor_c76f6ca0,3.3,9
mentor_590e7306,3.1,28
mentor_2c728138,4.0,19
mentor_2c73a4d5,4.3,13
mentor_61cb6783,4.1,6
mentor_c152acf7,2.5,32
mentor_f3fd6ead,3.9,32
mentor_1913845e,3.2,22
mentor_0f522631,4.9,20
mentor_c11fa12f,4.7,9
mentor_7dbced22,3.8,28
mentor_a762274a,4.0,25
mentor_e8bc9c09,4.3,2
mentor_3d7d910c,2.4,1
mentor_549c47f6,4.7,13
mentor_e13bd0bf,3.5,12
mentor_3d5ea10a,4.6,1
mentor_30e5b47f,3.8,42
mentor_66cea7cc,4.1,9
mentor_251035bc,4.1,13
mentor_67374293,3.6,28
mentor_9e280421,2.7,23
mentor_0aaada6e,2.6,16
mentor_9d15fed7,4.3,20
mentor_f5b5de66,4.0,3
mentor_9351978a,3.9,20
mentor_01f16862,3.7,23
mentor_42a1471c,2.9,19
mentor_fd202aed,3.6,3
mentor_2989ff2f,3.7,16
mentor_6f833c2a,3.6,18
mentor_dae61e59,4.1,3
mentor_2cf30255,4.7,30
mentor_7c912a62,4.6,35
mentor_7e4344ec,4.2,21
mentor_08957cf0,4.2,31
mentor_bb25ef9f,3.6,6
mentor_686f8d37,3.2,26
mentor_f6769659,2.6,28
mentor_81e5c4c1,4.0,42
mentor_7b5a5358,4.4,10
mentor_1b6bde93,4.2,31
mentor_3e783760,2.7,24
mentor_686d6149,3.4,2
mentor_254b6ffe,4.1,29
mentor_58b0992b,3.9,26
mentor_954544e6,3.0,38
mentor_fb7c8680,4.1,29
mentor_5c18cc79,3.8,15
mentor_230289f8,3.5,1
mentor_311c7750,3.8,7
mentor_8b2e1617,4.5,33
mentor_4f0b382b,3.3,48
mentor_f88a9487,4.1,24
mentor_21e431d6,4.8,31
mentor_135394c4,3.6,11
mentor_0ec21069,4.0,22
mentor_d04a6c67,3.1,24
mentor_73194429,4.1,18
mentor_4f8d343b,3.1,47
mentor_b860ddf6,4.2,23
mentor_783645cd,3.9,37
mentor_a0d416f0,4.1,37
mentor_261b2e8e,3.3,26
mentor_95619395,4.2,33
mentor_39ed4810,4.3,9
mentor_4f3daadc,3.8,30
mentor_45e71470,3.8,8
mentor_b92f1ef3,4.4,7
mentor_0feea68b,2.6,32
mentor_a9d62590,3.3,27
mentor_30785d7b,4.1,34
mentor_69630ae0,3.6,21
mentor_126f46ea,4.1,36
mentor_1f8f33d5,4.5,38
mentor_47ae70a6,3.8,15
mentor_4c518774,4.9,16
mentor_65240e28,2.7,26
mentor_b95fcbf2,2.9,10
mentor_79a36419,3.5,29
mentor_98bf110d,3.1,33
mentor_5439b870,4.8,12
mentor_1a8e049f,3.9,12
mentor_59c9f988,3.7,18
mentor_59861d7d,4.0,42
mentor_90057a9e,3.3,40
mentor_e6a0405c,3.4,32
mentor_b833b9ca,4.2,32
mentor_9376b8e5,4.3,37
mentor_28a655a4,4.2,13
mentor_b879352b,3.6,26
mentor_9c70f935,4.4,19
mentor_bfd615ce,4.0,30
mentor_aebf3d03,4.0,23
mentor_61a3e16e,4.1,10
mentor_944a7298,3.3,22
mentor_7262a429,3.8,13
mentor_f29fe81f,3.7,46
mentor_424b44c7,3.2,24
mentor_0d440dde,3.9,15
mentor_5f30bd84,3.2,33
mentor_4b35f0b2,4.6,33
mentor_b0cddb1c,3.6,33
mentor_9b37f3e3,3.2,44
mentor_3233b849,3.4,9
mentor_9c789c28,4.5,11
mentor_467dea2c,5.0,21
mentor_6064b052,3.9,50
mentor_169b8db4,3.7,7
mentor_02659c85,3.5,20
mentor_077b24b4,4.2,18
mentor_a889df69,4.5,34
mentor_f12e8b32,3.2,27
mentor_098ba260,2.4,23
mentor_4cbc309a,4.7,5
mentor_bdec7064,3.3,5
mentor_49815822,3.5,31
mentor_f23fb652,4.4,43
mentor_7a1cacf1,4.9,44
mentor_e8ff6991,3.7,11
mentor_04d4bf40,4.5,22
mentor_aa10d839,3.4,10
mentor_a0bdd90e,2.5,21
mentor_1fcd9500,3.4,37
mentor_5d44ec62,3.8,12
mentor_027976db,3.4,19
mentor_b76c1998,3.9,26
mentor_5167e229,4.4,33
mentor_2d77119c,3.9,14
mentor_2dd698b1,3.0,7
mentor_15713436,4.1,30
mentor_fd77aa3c,4.0,10
mentor_a0d98029,4.2,34
mentor_b4b59be7,3.8,14
mentor_2aab8241,3.4,4
mentor_6ed9f5cf,4.7,19
mentor_7a6fc9ab,2.6,34
mentor_2c880ec2,3.0,22
mentor_8c96ef22,3.7,22
mentor_58ff2369,3.3,42
mentor_feebeacf,4.3,35
mentor_c6eb6455,3.6,37
mentor_adb21cf8,4.0,8
mentor_440dede2,2.9,37
mentor_730437c1,3.5,23
mentor_5a9fd9dc,3.3,21
mentor_e03153fb,3.0,27
mentor_2342c4d4,3.7,10
mentor_e187b5f4,2.6,13
mentor_37568d23,4.1,28
mentor_6451b47f,3.6,5
mentor_1bce2dca,4.9,42
mentor_41df2987,4.5,9
mentor_01d0588c,3.8,23
mentor_4747869f,2.3,10
mentor_85f80f71,2.2,26
mentor_6df9c20f,5.0,49
mentor_645a19e7,3.1,44
mentor_c3acdc36,3.2,27
mentor_2922acf2,4.6,4
mentor_4e313512,4.1,19
mentor_d2b29e6d,3.5,22
mentor_27a7eaf1,3.4,18
mentor_1b3538af,4.3,35
mentor_890f46c5,3.4,20
mentor_d69cc21c,1.9,37
mentor_d745397a,3.2,23
mentor_918876d4,3.4,12
mentor_8954741a,3.8,20
mentor_9fea299c,4.5,3
mentor_0c7311c4,4.4,22
mentor_cbb27278,3.6,12
mentor_aac92031,4.1,13
mentor_ad21f467,4.8,33
mentor_20d83716,3.9,39
mentor_4b818f65,3.6,2
mentor_4c91d7f6,2.7,11
mentor_63e768ae,3.1,36
mentor_9f628e74,2.8,10
mentor_fc4fb7dd,4.1,19
mentor_69b8e6d5,4.4,24
mentor_39b596d8,4.0,18
mentor_db3a124c,3.9,17
mentor_4a41d3f2,2.5,14
mentor_0c64e03e,3.7,31
mentor_a0296527,3.5,8
mentor_cd4b1e31,3.7,1
mentor_3bb6e198,3.5,26
mentor_917561bb,4.3,44
mentor_2a89d9c0,3.1,7
mentor_dccf2e6d,4.3,42
mentor_b2101daf,4.2,24
mentor_2b5c4148,2.6,10
mentor_0e72b086,4.8,34
mentor_36a6138c,3.3,43
mentor_b8a1fbe0,3.1,21
mentor_80dfe5db,4.1,23
mentor_ad240e95,3.4,17
mentor_daea42a1,3.4,16
mentor_e311b103,3.8,16
mentor_601923cb,4.3,18
mentor_58177dfe,3.6,6
mentor_6f999830,4.4,6
mentor_06840e19,3.0,20
mentor_9009aa7b,2.9,5
mentor_2572c3fd,4.3,17
mentor_9a33d818,4.4,24
mentor_888f975f,4.1,5
mentor_371f23f2,3.6,21
mentor_540ebe81,3.3,11
mentor_bb4eff35,3.5,39
mentor_a7357826,3.2,24
mentor_b0698586,3.8,7
mentor_c44e63fa,4.4,39
mentor_2ad31095,4.3,21
mentor_851b59ba,4.1,33
mentor_beccb220,4.1,40
mentor_d61a3dfb,3.4,28
mentor_6e3e76aa,3.3,29
mentor_04f61baa,4.3,28
mentor_c67f0734,4.8,20
mentor_3aa59e00,4.3,7
mentor_8527999e,2.7,32
mentor_70414c16,2.7,13
mentor_5c39db24,3.1,6
mentor_7b7ab7f3,3.4,45
mentor_b295ce30,3.4,25
mentor_093ff699,3.1,25
mentor_c0f06993,3.9,50
mentor_fcfd3581,3.7,12
mentor_eea8f591,2.7,27
mentor_6add6af4,3.8,22
mentor_bafa1dd7,3.4,47
mentor_7ee4537b,4.2,26
mentor_35177986,4.0,36
mentor_b2bfcd68,4.1,28
mentor_6313d5be,4.0,15
mentor_deb7b68e,4.4,19
mentor_d30a88c4,4.6,11
mentor_1800bca8,4.8,13
mentor_6609da05,2.4,36
mentor_81e137c1,3.1,31
mentor_32a24e42,3.0,20
mentor_2bcc1153,3.0,47
mentor_e6de7d6d,3.5,14
mentor_3929785b,3.7,23
mentor_2cabe078,3.8,30
mentor_c77bb322,4.0,28
mentor_e8189012,2.7,30
mentor_467b5eef,2.4,14
mentor_d14c21ef,4.6,52
mentor_81bc1788,3.4,12
mentor_7578d1b8,4.1,24
mentor_b6bb68ac,3.7,29
mentor_38d51f4c,3.9,26
mentor_f601ca57,2.6,13
mentor_5dd4a0c1,3.1,8
mentor_05aba56b,3.4,23
mentor_45dcd849,3.6,22
mentor_51520b0e,3.3,6
mentor_6c3c6c8a,3.2,34
mentor_db433e4a,3.4,30
mentor_0a9abd64,3.3,34
mentor_cd21ed0e,3.0,51
mentor_57c1de05,4.2,12
mentor_755dec94,3.1,20
mentor_2143fc82,3.9,13
mentor_12f50543,3.6,46
mentor_e13c245d,4.9,57
mentor_2459fa7d,3.0,28
mentor_81160bd7,3.8,26
mentor_6aea9f28,4.6,21
mentor_33d06f1e,4.7,30
mentor_8c80cba7,3.4,48
mentor_c277e865,3.4,12
mentor_c3c392fd,4.0,40
mentor_5555be84,3.7,30
mentor_e03a4148,3.6,26
mentor_3855c583,3.6,20
mentor_151fbda9,3.1,19
mentor_bb039843,4.5,22
mentor_da6f2f5e,3.6,18
mentor_99d5dbc3,4.6,39
mentor_3c2c26ab,4.3,8
mentor_d0e56e1f,2.3,18
mentor_fae5a8b0,4.1,17
mentor_da53a690,4.2,12
mentor_219fd369,2.9,30
mentor_b17708b5,3.7,30
mentor_b3aa76f8,4.1,2
mentor_9cb196ad,3.8,2
mentor_6d038147,4.8,28
mentor_f6dfd3bd,4.1,52
mentor_c226fe6d,3.2,21
mentor_7d107106,2.7,39
mentor_ee683d23,2.4,6
mentor_af7e9222,3.0,9
mentor_79843184,3.7,37
mentor_a9e5c11a,3.9,32
mentor_3d1e6258,3.4,27
mentor_bea545d3,4.6,1
mentor_45a7f003,4.6,18
mentor_8da2d5d4,3.0,1
mentor_c40f9f5a,3.8,22
mentor_fbd61d88,3.9,4
mentor_07a91747,4.2,13
mentor_543823e4,4.0,46
mentor_47fe6e4e,3.1,32
mentor_c5272221,3.9,39
mentor_e62e0294,4.6,43
mentor_f089185a,2.3,25
mentor_21e5347b,4.5,38
mentor_24af0ef2,3.9,33
mentor_a520ed47,3.1,13
mentor_33b8a70b,4.4,6
mentor_3185d2f5,3.4,20
mentor_e1cb83c8,3.4,28
mentor_494887ae,2.9,11
mentor_9e4c2e53,3.1,47
mentor_860efaf3,4.0,17
mentor_02fcbc53,3.6,19
mentor_f06d8ee8,5.0,7
mentor_be866e68,4.4,36
mentor_1fe758b8,4.4,25
mentor_2cc0ce45,3.4,5
mentor_be5468c1,4.0,15
mentor_f3ed91e2,3.2,8
mentor_0ed9b37c,3.1,10
mentor_a170e3d4,3.6,38
mentor_3f871fda,4.5,32
mentor_ab6a20de,4.2,32
mentor_1c1188dd,3.3,45
mentor_d8bdc449,4.6,38
mentor_d7609aa1,4.5,34
mentor_983036eb,3.1,21
mentor_dad427cd,3.2,26
mentor_a77fdb78,3.4,21
mentor_6599e3cd,2.7,8
mentor_85448736,3.3,35
mentor_0c77ab9e,2.9,24
mentor_8169f93e,4.1,38
mentor_ac714b00,3.5,13
mentor_5fb49aec,3.4,32
mentor_90d0c906,3.6,16
mentor_9b3290ba,3.6,6
mentor_1735ebcf,4.2,34
mentor_e5da0265,4.2,12
mentor_113c1958,4.1,7
mentor_9b2723ce,3.9,49
mentor_3afc9cfb,4.2,39
mentor_df3a0d10,4.0,19
mentor_e278b5f7,3.3,11
mentor_5c89730c,3.6,16
mentor_a6a9f47b,4.2,34
mentor_9503af04,3.8,36
mentor_929e5c3e,2.6,12
mentor_bb26a002,4.1,31
mentor_8ae0b233,3.3,13
mentor_420817b0,3.8,18
mentor_ed253048,3.3,4
mentor_2a61d3b8,3.2,32
mentor_36e3929f,3.9,26
mentor_db30ab52,4.5,19
mentor_1cd95c06,2.6,14
mentor_a62ca058,4.8,44
mentor_13947eb3,3.5,12
mentor_2e4eb668,3.7,19
mentor_4f6ed4ff,3.8,17
mentor_1485657a,3.8,23
mentor_4fbb9b05,3.6,27
mentor_926c1d8a,4.2,18
mentor_6ea7b2e6,4.7,11
mentor_125b9ce2,4.3,12
mentor_f1fc2f56,3.5,4
mentor_823ac418,4.3,28
mentor_5ac6d29d,4.4,29
mentor_56e808a5,3.8,61
mentor_41cae98c,3.9,10
mentor_d4f7a6a1,3.2,1
mentor_2ba2ac68,3.7,7
mentor_45be1a57,4.4,13
mentor_bc257018,3.8,6
mentor_5b727c72,3.2,2
mentor_04db03be,4.2,17
mentor_39f65387,4.7,11
mentor_9d85cb50,3.7,29
mentor_a0b163d5,3.2,54
mentor_e4a5ed01,4.4,22
mentor_575e7a51,4.2,17
mentor_02f0dd22,3.8,47
mentor_0ca83c09,4.7,10
mentor_922d61b2,3.6,25
mentor_484433dd,3.1,24
mentor_98a62775,3.7,38
mentor_61b76a24,2.6,10
mentor_6c10c176,4.4,25
mentor_f726fbdf,3.1,24
mentor_2b833cec,3.9,7
mentor_423c5118,4.4,16
mentor_061bdc19,3.7,21
mentor_3d7a1216,2.5,30
mentor_62c94c09,2.2,18
mentor_0daca167,3.3,22
mentor_33f7a738,4.1,18
mentor_cc3e2cb3,4.3,38
mentor_be53ee07,4.1,12
mentor_ad483330,3.0,13
mentor_0d561469,4.1,26
mentor_c413a9b2,3.6,31
mentor_8157f173,4.4,49
mentor_05a85d96,3.4,48
mentor_a355f606,3.0,19
mentor_b8ebc87f,3.8,14
mentor_0614663c,3.2,37
mentor_b8358f3f,4.1,3
mentor_397b282a,3.2,29
mentor_656e04bd,3.8,20
mentor_ab1baa5d,4.0,17
mentor_81edde73,4.1,9
mentor_831c2282,4.7,33
mentor_0b919228,3.5,47
mentor_51f4f1a4,4.3,28
mentor_68acf5b4,4.0,28
mentor_68f24f27,3.9,16
mentor_98507391,3.8,34
mentor_f1b6cb59,4.6,25
mentor_41585ee2,4.4,25
mentor_390a213a,3.4,26
mentor_3c9c77d1,3.0,13
mentor_a3c673b8,2.9,51
mentor_26aed0b7,3.2,21
mentor_1250f31a,4.6,33
mentor_123ef00d,4.2,2
mentor_7c09bb36,2.8,33
mentor_ec83df9e,3.6,18
mentor_5ec0cd0e,3.9,9
mentor_6a2261e1,3.1,14
mentor_4ef90c69,4.5,26
mentor_2b8923eb,3.1,33
mentor_ff8225f3,4.5,3
mentor_e5d06915,4.2,27
mentor_1d9d0543,3.9,20
mentor_f061e9b1,4.6,28
mentor_a1cd7f14,2.7,23
mentor_a72793d0,4.9,27
mentor_a1c6e70c,4.7,17
mentor_46d27820,3.6,34
mentor_b93ba98d,4.3,23
mentor_ddc6c099,4.9,3
mentor_8e02916d,3.4,39
mentor_d8c39f71,3.0,24
mentor_d7acb940,4.1,14
mentor_6ab11f5f,3.9,31
mentor_1cb00696,3.9,28
mentor_452a1bb8,3.0,10
mentor_9cf5af00,2.2,33
mentor_c4a75679,3.4,14
mentor_41f87b57,4.5,20
mentor_3a41cda0,3.8,5
mentor_b930798f,2.8,24
mentor_ceb5056a,3.0,33
mentor_b5dc1caf,4.0,35
mentor_c5822b07,3.9,28
mentor_332aa4b0,4.1,14
mentor_2ba92b5f,2.9,27
mentor_489c141a,3.8,5
mentor_4194c404,2.3,30
mentor_7cfaecb2,3.3,14
mentor_290f988f,4.0,29
mentor_a27e0711,3.3,29
mentor_a7751070,2.2,13
mentor_4ce01216,3.2,16
mentor_7a647d3d,3.3,15
mentor_69b66b00,2.5,17
mentor_37b66f58,4.7,14
mentor_fb833986,2.8,29
mentor_7e11ea79,2.9,26
mentor_3e7a6b59,3.1,32
mentor_32e5843b,2.3,12
mentor_932ddee5,4.1,20
mentor_2aa01b0f,3.7,43
mentor_bb20ce21,3.9,28
mentor_48f7e144,3.5,17
mentor_42519fba,4.9,30
mentor_94cd8970,4.1,9
mentor_9b825364,3.4,50
mentor_1292785a,3.8,14
mentor_4b9bc845,4.9,8
mentor_53759ace,1.6,12
mentor_7a435e5d,2.6,44
mentor_0cc7a083,3.6,16
mentor_fa4c89ea,3.8,2
mentor_adb8b9a5,2.9,36
mentor_c6078247,3.7,26
mentor_c4b0d0bf,3.3,12
mentor_1c566ccd,4.2,30
mentor_31cdb4a2,3.0,26
mentor_a6c34f62,3.7,22
mentor_86f49a7d,3.5,27
mentor_69533623,3.8,16
mentor_0f190a84,3.2,30
mentor_032231e2,2.8,12
mentor_c77e8ed1,4.7,2
mentor_4a130eba,4.4,14
mentor_c7080eb8,3.8,18
mentor_6d96e0e7,4.1,12
mentor_7756dcad,4.7,12
mentor_c0901a39,2.7,10
mentor_d182a5d0,3.3,44
mentor_bd041289,4.0,14
mentor_263f7f63,3.0,23
mentor_8e31fc41,3.9,25
mentor_47e05ef4,4.8,22
mentor_139d3842,2.9,22
mentor_cfa1da66,3.9,34
mentor_382684b0,4.5,14
mentor_f8ad6c6a,4.5,30
mentor_9ea080e2,4.3,44
mentor_fcb8f14b,2.6,14
mentor_79db60a1,3.7,36
mentor_afdef75d,4.5,34
mentor_ffd04958,4.2,23
mentor_c639f7ee,4.0,24
mentor_8435ce51,4.1,29
mentor_dd602002,3.3,21
mentor_3326c7f2,2.6,21
mentor_44c3583b,3.5,17
mentor_15b8f38c,3.2,32
mentor_c2f5b3c7,2.7,17
mentor_52767ade,3.4,14
mentor_2cb1a3c5,3.6,15
mentor_097d0f15,4.6,8
mentor_940bd66e,4.9,23
mentor_0e7958be,3.5,30
mentor_f79f88e5,3.0,39
mentor_f7d2e855,3.2,28
mentor_9ef6699d,3.9,38
mentor_072ed49e,2.5,45
mentor_eae728de,3.5,1
mentor_4c7267bd,4.6,16
mentor_c2177903,3.1,42
mentor_d06c31b8,4.5,27
mentor_f9fe0818,3.1,25
mentor_f08cee72,4.4,36
mentor_2a808113,3.2,41
mentor_631c4aff,3.5,33
mentor_de62faa5,4.5,19
mentor_57494c37,3.3,3
mentor_bc98518f,4.5,28
mentor_a14fc230,4.1,25
mentor_1360e9ab,4.1,33
mentor_dc477fd6,4.5,12
mentor_86c2f8d7,5.0,26
mentor_01f3ac98,3.1,3
mentor_5e9ee3e2,4.9,25
mentor_144fc5b1,3.8,11
mentor_e3c77027,3.2,32
